,Title,Description,location,Status,Transaction,Furnishing,facing,Bathroom,Balcony,Car Parking,Ownership,Current Floor,Total Floors,amount,price
59,1 BHK Ready to Occupy Flat for sale Lok Manya Nagar,"This magnificent 1 BHK Flat is available for sale in Lok Manya Nagar, Thane. Invest your valuable money in this flat that is for resale. This apartment ready to move in the Lok Manya Nagar is available for an attractive price of INR 40 Lac. It is unfurnished to accommodate your needs.",thane,Ready to Move,Resale,Unfurnished,Unknown,1,0,0,Unknown,3,5,4000000.0,8000.0
60,1 BHK Ready to Occupy Flat for sale in Lodha Crown Majiwada,"Majiwada, Thane has an attractive 1 BHK Flat for sale. It is in a prime location within the Lodha Crown. This flat for sale has a desirable location. In Majiwada, this ready to move flat is available at an attractive price of INR 60 Lac. The flat is sold in semi-furnished condition. near boulevard mall, thane are some major landmarks near the apartment.",thane,Ready to Move,New Property,Semi-Furnished,East,1,0,0,Freehold,2,24,6000000.0,18750.0
61,2 BHK Ready to Occupy Flat for sale Dombivli,"This attractive 2 BHK apartment can be found for sale in Dombivli, Thane. Your hunt for the perfect apartment for resale comes to an end here. This ready to move flat in Dombivli comes at an affordable price of INR 85 Lac. It is furnished to accommodate your needs.",thane,Ready to Move,Resale,Furnished,East,2,0,0,Co-operative Society,3,4,8500000.0,10000.0
62,2 BHK Ready to Occupy Flat for sale Usarghar Gaon,"Usarghar Gaon, Thane has an appealing 2 BHK flat for sale with various amenities. This apartment is a property of choice for resale. This ready to move flat in Usarghar Gaon is available for a reasonable price of INR 43 Lac. The flat is sold in unfurnished condition. Prominent landmarks in and around this locality are this property is close to mall, local market , schools and restaurants.",thane,Ready to Move,Resale,Unfurnished,East,2,1,1 Open,Freehold,1,8,4300000.0,7338.0
63,2 BHK Ready to Occupy Flat for sale in Amber Enclave Thakurli,"This exquisite 2 BHK Flat is offered for sale in Thakurli, Thane. Situated in the Amber Enclave township, it has a prime location. This flat is an attractive property for resale. Located in Thakurli, this ready to move apartment is sold at a fair selling price of INR 85 Lac. The flat is uniquely designed to enhance the living style. It is unfurnished, studded with all the basic facilities.",thane,Ready to Move,Resale,Unfurnished,Unknown,2,0,0,Unknown,2,16,8500000.0,8500.0
64,3 BHK Ready to Occupy Flat for sale Panch Pakhdi,3 BHK flat available for sale in Thane in the prime location of Panch Pakhdi. This is one of the best properties available for resale. The ready to move flat in Panch Pakhdi is all ready for sale at a low-priced budget of INR 2.60 Cr. This contemporary apartment is semi-furnished.,thane,Ready to Move,Resale,Semi-Furnished,East,3,1,701 Covered,Freehold,7,7,26000000.0,17333.0
65,2 BHK Ready to Occupy Flat for sale in Sarvodaya Mangal Thakurli,"Thakurli, Thane has an attractive 2 BHK Flat for sale. It is based at Sarvodaya Mangal complex, that occupies a prominent place in the locality. This flat is an attractive property for resale. This ready to move flat in Thakurli is available for a reasonable price of INR 60 Lac. The flat is sold in unfurnished condition. dns bank. are some of the key nearby landmarks.",thane,Ready to Move,Resale,Unfurnished,East,2,1,1 Open,Co-operative Society,7,7,6000000.0,7059.0
66,3 BHK Ready to Occupy Flat for sale in Anamitra CHS Ltd Brahmand,"This beautiful 3 BHK Flat is available for sale in Brahmand, Thane. Situated in the Anamitra Chs Ltd township, it has a prime location. This flat for resale has a desirable location. This ready to move property in Brahmand is readily available within an affordable cost of INR 1.10 Cr. This immaculate flat boasts of coming in unfurnished form which takes the entire deal to the next level. Some nearby landmarks are reputed schools ,banks, and atms are available nearby vicinity.",thane,Ready to Move,Resale,Unfurnished,East,3,2,1 Covered,Freehold,1,17,11000000.0,11458.0
67,1 BHK Ready to Occupy Flat for sale in Patels Homes Ambernath East,"1 BHK flat available for sale in Thane in the prime location of Ambernath East. It is based at Patels Homes complex, that occupies a prominent place in the locality. This flat for resale is a choice property. This ready to move flat in Ambernath East comes at an affordable price of INR 35 Lac. This unfurnished flat is strategically designed with all the amenities to enhance the living experience.",thane,Ready to Move,Resale,Unfurnished,Unknown,1,0,0,Unknown,5,5,3500000.0,4459.0
68,1 BHK Ready to Occupy Flat for sale in Pranshu Pride Coperative Housing Society Dombivli East,"1 BHK flat available for sale in Thane in the prime location of Dombivli East. This flat is situated within the renown township of Pranshu Pride Coperative Housing Society. This flat for resale is the perfect property for you! Located in Dombivli East, this ready to move apartment is sold at a fair selling price of INR 32 Lac. You will find it unfurnished.",thane,Ready to Move,Resale,Unfurnished,Unknown,1,0,0,Unknown,2,4,3200000.0,6709.0
69,3 BHK Ready to Occupy Flat for sale in Tata Serein Pokharan Road Number 2,"This attractive 3 BHK apartment can be found for sale in Pokharan Road Number 2, Thane. Located in the Tata Serein township, the flat enjoys access to the prime spots in the city. This flat for sale is just the type of property you have been searching for! This ready to move flat is offered at an economical price of INR 2.40 Cr. It is unfurnished to accommodate your needs.",thane,Ready to Move,New Property,Unfurnished,East,3,1,2 Covered,Freehold,20,32,24000000.0,13699.0
70,3 BHK Ready to Occupy Flat for sale in Crystal Spires Manpada Thane West,"This beautiful 3 BHK Flat is available for sale in Manpada Thane West, Thane. It is based at Crystal Spires complex, that occupies a prominent place in the locality. This flat all equipped with required facilities, is up for sale. This ready to move flat in Manpada Thane West is available for a reasonable price of INR 3.10 Cr. The apartment is unfurnished. The property is constructed with proximity to major landmarks like near titan hospital.",thane,Ready to Move,New Property,Unfurnished,East,3,0,0,Freehold,10,25,31000000.0,15122.0
71,2 BHK Ready to Occupy Flat for sale in Vihang Hills Ghodbunder Road,"2 BHK flat available for sale in Thane in the prime location of Ghodbunder Road. This flat is situated in the Vihang Hills township and is equipped with premium facilities. This flat for resale is a choice property. In Ghodbunder Road, this ready to move flat is available at an attractive price of INR 78 Lac. The flat is unfurnished and is suitable for any family size. Landmarks near the apartment include the property is close to the proposed metro station kasarvadwali. hotel , mall, school are very close to the property .well connected to thane and borivali station..",thane,Ready to Move,Resale,Unfurnished,North - East,2,3,0,Freehold,15,17,7800000.0,9750.0
72,1 BHK Ready to Occupy Flat for sale Rishabh Heights CHS Thane,"Up for immediate sale is a 1 BHK apartment in Rishabh Heights CHS, Thane. Don't miss this bargain flat for sale. This flat for resale is a choice property. This ready to move property in Rishabh Heights CHS is readily available within an affordable cost of INR 45 Lac. The apartment is unfurnished.",thane,Ready to Move,Resale,Unfurnished,Unknown,1,1,0,Co-operative Society,8,9,4500000.0,7438.0
73,3 BHK Ready to Occupy Flat for sale in Hiranandani Estate Capri Hiranandani Estate,"This ready to move-in 3 BHK flat is available for sale at the premium Hiranandani Estate in Thane. Situated in the Hiranandani Estate Capri township, it has a prime location. Invest your valuable money in this flat that is for resale. In Hiranandani Estate, this ready to move flat is available at an attractive price of INR 2 Cr. The flat is available in furnished condition.",thane,Ready to Move,Resale,Furnished,Unknown,3,1,0,Unknown,0,0,20000000.0,11765.0
74,1 BHK Ready to Occupy Flat for sale in Rosa Elite Bhayandarpada,"Bhayandarpada, Thane has an attractive 1 BHK Flat for sale. Situated in the Rosa Elite township, it has a prime location. This flat all equipped with required facilities, is up for resale. This ready to move flat in Bhayandarpada comes at an affordable price of INR 50 Lac. Available in unfurnished state, this flat is a great buy.",thane,Ready to Move,Resale,Unfurnished,East,2,0,0,Co-operative Society,5,7,5000000.0,7812.0
75,3 BHK Ready to Occupy Flat for sale in Orovia Phase 1 Ghodbunder Road,"Ghodbunder Road, Thane has an appealing 3 BHK flat for sale with various amenities. It is based at Orovia Phase 1 complex, that occupies a prominent place in the locality. Your search ends here, because this flat for resale is among the best bargains in town. This ready to move flat in Ghodbunder Road comes at an affordable price of INR 1.60 Cr. Available in unfurnished state, this flat is a great buy. The prime landmarks near this property are hiranandani estate.",thane,Ready to Move,Resale,Unfurnished,East,2,2,0,Freehold,8,27,16000000.0,12618.0
76,1 BHK Ready to Occupy Flat for sale in Hiranandani Estate Penrose Hiranandani Estate,"Hiranandani Estate, Thane has an appealing 1 BHK flat for sale with various amenities. It is based at Hiranandani Estate Penrose complex, that occupies a prominent place in the locality. Your search ends here, because this flat for resale is among the best bargains in town. You can buy this ready to move flat in Hiranandani Estate at a reasonable price of INR 79 Lac. You will find it semi-furnished. This 1 BHK flat boasts of being in close proximity to significant landmarks like 1bhk apartment available in penrose hiranandani estate , g.b. road. enjoys good connectivity with the rest of thane. has convenient facilities such as markets, schools, temples, gurudwaras and mosques nearby. apartment has power backup, ro water system and intercom facilities. there is ample parkingr space for residents and visitors..ne that enhance the overall living experience.",thane,Ready to Move,Resale,Semi-Furnished,North - East,2,1,1 Open,Freehold,2,7,7900000.0,13167.0
77,2 BHK Ready to Occupy Flat for sale Badlapur West,"Have a look at this immaculate 2 BHK flat for sale in Badlapur West, Thane. This flat is available as a resale property. This ready to move flat in Badlapur West can be availed at a reasonable price of INR 30 Lac. This flat is an ideal choice because it is an unfurnished apartment with all basic amenities.",thane,Ready to Move,Resale,Unfurnished,Unknown,2,2,1 Open,Unknown,7,7,3000000.0,3226.0
78,1 BHK Ready to Occupy Flat for sale in Tiara Anjur Upper Anjur,"Creatively planned and constructed is a 1 BHK flat for sale in Anjur, Thane. It is in a prime location within the Tiara Anjur Upper. This is one of the best properties available for resale. This ready to move property in Anjur is readily available within an affordable cost of INR 48 Lac. The flat is sold in unfurnished condition.",thane,Ready to Move,Resale,Unfurnished,East,1,1,0,Co-operative Society,8,19,4800000.0,8000.0
79,2 BHK Ready to Occupy Flat for sale Dombivli East,"This attractive 2 BHK apartment can be found for sale in Dombivli East, Thane. Invest your valuable money in this flat that is for sale. Located in Dombivli East, this ready to move apartment is sold at a fair selling price of INR 75.2 Lac. The flat is uniquely designed to enhance the living style. It is unfurnished, studded with all the basic facilities. The property is constructed with proximity to major landmarks like near jain temple, sangeeta wadi, dombivli east..",thane,Ready to Move,New Property,Unfurnished,East,2,2,1 Open,Freehold,3,7,7520000.0,8173.0
80,"2 BHK Ready to Occupy Flat for sale Kalyan West, Thane Thane","Kalyan West, Thane, Thane has an appealing 2 BHK flat for sale with various amenities. This flat for resale is just the type of property you have been searching for! Available at a reasonable selling price of INR 1.32 Cr, this ready to move apartment in Kalyan West, Thane is a great buy. The flat is available in unfurnished condition.",thane,Ready to Move,Resale,Unfurnished,East,2,1,0,Unknown,2,8,13200000.0,9231.0
81,1 BHK Ready to Occupy Flat for sale Badlapur West,"Have a look at this immaculate 1 BHK flat for sale in Badlapur West, Thane. This flat all equipped with required facilities, is up for resale. Available at a reasonable selling price of INR 28 Lac, this ready to move apartment in Badlapur West is a great buy. The flat is sold in unfurnished condition. near utkarsh hospital are a few nearby landmarks.",thane,Ready to Move,Resale,Unfurnished,East,1,1,0,Freehold,2,2,2800000.0,5091.0
82,1 BHK Ready to Occupy Flat for sale in Parkwood Thane West,"This beautiful 1 BHK Flat is available for sale in Thane West, Thane. The property is ideally located in a strategic location in Parkwood township. This flat for resale is a choice property. This ready to move flat in Thane West comes at an affordable price of INR 77 Lac. The apartment is unfurnished. Landmarks near the apartment include near new horizon school.",thane,Ready to Move,Resale,Unfurnished,East,2,2,1 Covered,Freehold,15,30,7700000.0,11159.0
83,1 BHK Ready to Occupy Flat for sale Naupada,"Carefully laid out in the prime location of Naupada in Thane, this spacious 1 BHK flat on sale is a meticulously planned project. This flat for resale is a choice property. This apartment ready to move in the Naupada is available for an attractive price of INR 1 Cr. Available in semi-furnished state, this flat is a great buy.",thane,Ready to Move,Resale,Semi-Furnished,Unknown,1,1,0,Unknown,4,4,10000000.0,19608.0
84,1 BHK Ready to Occupy Flat for sale Shastri Nagar Thane West,"Creatively planned and constructed is a 1 BHK flat for sale in Shastri Nagar Thane West, Thane. This flat is available as a resale property. In Shastri Nagar Thane West, this ready to move flat is available at an attractive price of INR 50 Lac. The flat is sold in furnished condition.",thane,Ready to Move,Resale,Furnished,Unknown,2,0,0,Unknown,3,4,5000000.0,7143.0
85,1 BHK Ready to Occupy Flat for sale in Vihang Hills Bhayandarpada,"One can find this stunning 1 BHK flat for sale in Bhayandarpada, Thane. Located in the Vihang Hills township, the flat enjoys access to the prime spots in the city. This flat for resale is the perfect property for you! You can buy this ready to move flat in Bhayandarpada at a reasonable price of INR 53 Lac. You will find it semi-furnished. The prime landmarks near this property are nearby puranik rumah bali..",thane,Ready to Move,Resale,Semi-Furnished,North,2,0,1 Covered,Freehold,21,26,5300000.0,8413.0
86,3 BHK Ready to Occupy Flat for sale Ghodbunder Road,"3 BHK flat available for sale in Thane in the prime location of Ghodbunder Road. This apartment for resale is a great choice. Located in Ghodbunder Road, this ready to move apartment is sold at a fair selling price of INR 1.65 Cr. The spacious apartment is semi-furnished. The property is strategically placed near prominent places as hiranandani estate which make for the smooth living of residents.",thane,Ready to Move,Resale,Semi-Furnished,East,2,0,1 Covered,Freehold,5,12,16500000.0,13866.0
87,2 BHK Ready to Occupy Flat for sale Dombivli East,"This exquisite 2 BHK Flat is offered for sale in Dombivli East, Thane. This flat for resale has a desirable location. This ready to move flat in Dombivli East can be taken at a very economical pricing of INR 60 Lac. The flat is available in unfurnished condition.",thane,Ready to Move,Resale,Unfurnished,Unknown,2,0,0,Unknown,3,18,6000000.0,8889.0
88,2 BHK Ready to Occupy Flat for sale in Pride Park Manpada Thane West,"Up for immediate sale is a 2 BHK apartment in Manpada Thane West, Thane. Don't miss this bargain flat for sale. Situated in the Pride Park township, it has a prime location. This flat is an attractive property for resale. The ready to move flat in the prime area of Manpada Thane West is available at a reasonable price of INR 1.19 Cr. The flat is semi-furnished and is suitable for any family size. Landmarks near the apartment include near to the rmall..",thane,Ready to Move,Resale,Semi-Furnished,East,2,1,1 Covered,Freehold,5,14,11900000.0,12526.0
89,3 BHK Ready to Occupy Flat for sale in Dosti Planet North Shilphata,"This exquisite 3 BHK Flat is offered for sale in Shilphata, Thane. Enjoying a prime location, this property is housed in the Dosti Planet North society. This flat for resale is a choice property. You can buy this ready to move flat in Shilphata at a reasonable price of INR 90 Lac. The flat is uniquely designed to enhance the living style. It is furnished, studded with all the basic facilities.",thane,Ready to Move,Resale,Furnished,Unknown,2,3,0,Unknown,1,29,9000000.0,7986.0
90,1 BHK Ready to Occupy Flat for sale in Rutu Estate Ghodbunder Road,"Carefully laid out in the prime location of Ghodbunder Road in Thane, this spacious 1 BHK flat on sale is a meticulously planned project. Situated in the Rutu Estate township, it has a prime location. Your search ends here, because this flat for resale is among the best bargains in town. This ready to move flat in Ghodbunder Road comes at an affordable price of INR 68 Lac. This flat is an ideal choice because it is an semi-furnished apartment with all basic amenities.",thane,Ready to Move,Resale,Semi-Furnished,Unknown,2,1,0,Unknown,0,0,6800000.0,10709.0
91,1 BHK Ready to Occupy Flat for sale in Balaji Annex Thakurli,"Up for immediate sale is a 1 BHK apartment in Thakurli, Thane. Don't miss this bargain flat for sale. Ideally situated in the Balaji Annex township it enjoys a prime location. This flat for sale has a desirable location. Located in Thakurli, this ready to move apartment is sold at a fair selling price of INR 50 Lac. The apartment is unfurnished. Some nearby landmarks are balaji angaan.",thane,Ready to Move,New Property,Unfurnished,East,1,1,0,Freehold,5,16,5000000.0,7692.0
92,2 BHK Ready to Occupy Flat for sale in Puraniks Rumah Bali Ghodbunder Road,"Creatively planned and constructed is a 2 BHK flat for sale in Ghodbunder Road, Thane. It enjoys an excellent location within the Puraniks Rumah Bali. This flat for resale is a choice property. This apartment in one of the significant areas of Ghodbunder Road is ready to move, and can be purchased at the best price of INR 90 Lac. The flat is semi-furnished and makes for an ideal choice for any family. Some nearby landmarks are opposite lodha splendora..",thane,Ready to Move,Resale,Semi-Furnished,North,2,1,1 Covered,Freehold,3,28,9000000.0,8571.0
93,3 BHK Ready to Occupy Flat for sale in Mohan Highlands Badlapur,"This magnificent 3 BHK Flat is available for sale in Badlapur, Thane. It is in a prime location within the Mohan Highlands. This flat for resale has a desirable location. In Badlapur, this ready to move flat is available at an attractive price of INR 75 Lac. This flat is an ideal choice because it is an semi-furnished apartment with all basic amenities.",thane,Ready to Move,Resale,Semi-Furnished,West,3,0,0,Co-operative Society,6,7,7500000.0,5747.0
94,1 BHK Ready to Occupy Flat for sale Dombivli East,"This ready to move-in 1 BHK flat is available for sale at the premium Dombivli East in Thane. Your search ends here, because this flat for resale is among the best bargains in town. The ready to move flat in the prime area of Dombivli East is available at a reasonable price of INR 51 Lac. It is furnished to accommodate your needs.",thane,Ready to Move,Resale,Furnished,Unknown,1,0,0,Unknown,1,5,5100000.0,9444.0
95,2 BHK Ready to Occupy Flat for sale in Dosti West County Phase 4 Dosti Pine Balkum Pada,"This lovely 2 BHK Flat in Balkum village, Thane is up for sale. The property is ideally located in a strategic location in Dosti West County Phase 4 Dosti Pine township. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! The ready to move flat in Balkum village is all ready for sale at a low-priced budget of INR 99 Lac. Its possession date is May '23. This premium semi-furnished flat spells quality and comfort at a competitive price.",thane,Ready to Move,Resale,Semi-Furnished,Unknown,2,0,0,Unknown,29,29,9900000.0,17806.0
96,1 BHK Ready to Occupy Flat for sale Parsik Nagar,"This attractive 1 BHK apartment can be found for sale in Parsik Nagar, Thane. This apartment for resale is a great choice. This apartment in one of the significant areas of Parsik Nagar is ready to move, and can be purchased at the best price of INR 44.3 Lac. Available in semi-furnished state, this flat is a great buy. near rameshwar society, and 5 min from kalwa station. are some of the well-known landmarks in this locality.",thane,Ready to Move,Resale,Semi-Furnished,North - East,1,3,1 Open,Co-operative Society,1,4,4430000.0,7763.0
97,2 BHK Ready to Occupy Flat for sale in Shivnath Habitat Shilphata,"2 BHK flat available for sale in Thane in the prime location of Shilphata. Well-tucked in the Shivnath Habitat township, the property is easily accessible. Your hunt for the perfect apartment for resale comes to an end here. This ready to move flat is offered at an economical price of INR 55 Lac. This unfurnished flat is strategically designed with all the amenities to enhance the living experience.",thane,Ready to Move,Resale,Unfurnished,Unknown,2,4,0,Unknown,10,12,5500000.0,5500.0
98,1 BHK Ready to Occupy Flat for sale in Sudama Regency Diva,"This lovely 1 BHK Flat in Diva, Thane is up for sale. It is based at Sudama Regency complex, that occupies a prominent place in the locality. This flat for resale has a desirable location. This ready to move flat in Diva is available for a reasonable price of INR 33 Lac. Available in unfurnished state, this flat is a great buy.",thane,Ready to Move,Resale,Unfurnished,Unknown,1,1,0,Unknown,3,7,3300000.0,5893.0
99,2 BHK Ready to Occupy Flat for sale in Sheth Avalon Majiwada,"Majiwada, Thane has an appealing 2 BHK flat for sale with various amenities. It is in a prime location within the Sheth Avalon. This flat for resale has a desirable location. The ready to move flat in Majiwada is all ready for sale at a low-priced budget of INR 1.65 Cr. You will find it unfurnished. The flat is in close proximity to prominent landmarks like viviana mall.",thane,Ready to Move,Resale,Unfurnished,East,2,1,1 Covered,Freehold,10,30,16500000.0,13591.0
100,2 BHK Ready to Occupy Flat for sale in Sunrise by Kalpataru Kolshet Road,"Kolshet Road, Thane has an appealing 2 BHK flat for sale with various amenities. This flat is situated in the Sunrise By Kalpataru township and is equipped with premium facilities. Your hunt for the perfect apartment for resale comes to an end here. In Kolshet Road, this ready to move flat is available at an attractive price of INR 95 Lac. The flat is available in semi-furnished condition. Prominent landmarks in and around this locality are near kolshet road.",thane,Ready to Move,Resale,Semi-Furnished,East,2,0,1 Covered,Freehold,13,26,9500000.0,12179.0
101,3 BHK Ready to Occupy Flat for sale in Lodha Sterling Kolshet Road,"Kolshet Road, Thane has an appealing 3 BHK flat for sale with various amenities. It enjoys an excellent location within the Lodha Sterling. This is one of the best properties available for resale. This ready to move flat in Kolshet Road can be taken at a very economical pricing of INR 2.10 Cr. This flat is an ideal choice because it is an unfurnished apartment with all basic amenities.",thane,Ready to Move,Resale,Unfurnished,East,3,0,2 Covered,Freehold,5,7,21000000.0,12605.0
102, Studio Apartment for sale Dombivli East,"This flat for resale is a choice property. In Dombivli East, this ready to move flat is available at an attractive price of INR 15 Lac. The flat is unfurnished and is suitable for any family size.",thane,Ready to Move,Resale,Unfurnished,Unknown,1,1,0,Unknown,0,0,1500000.0,3750.0
103,2 BHK Ready to Occupy Flat for sale in Puranik Home Town Kasarvadavali,"2 BHK flat available for sale in Thane in the prime location of Kasarvadavali. Located in the Puranik Home Town township, the flat enjoys access to the prime spots in the city. This flat for resale is just the type of property you have been searching for! Available at a reasonable selling price of INR 97 Lac, this ready to move apartment in Kasarvadavali is a great buy. This premium unfurnished flat spells quality and comfort at a competitive price. 1.upcoming metro station 2.mall 3.international school are some major landmarks near the apartment.",thane,Ready to Move,Resale,Unfurnished,North - East,2,1,1 Covered,Freehold,5,28,9700000.0,8248.0
104,1 BHK Ready to Occupy Flat for sale Surajnagar Thane,"One can find this stunning 1 BHK flat for sale in Surajnagar, Thane. Your search ends here, because this flat for resale is among the best bargains in town. Available at a reasonable selling price of INR 27 Lac, this ready to move apartment in Surajnagar is a great buy. The apartment is unfurnished. The flat is in close proximity to prominent landmarks like saibaba hospital.",thane,Ready to Move,Resale,Unfurnished,North - East,1,0,0,Freehold,2,4,2700000.0,6429.0
105,2 BHK Ready to Occupy Flat for sale Society Thane,"Carefully laid out in the prime location of Society in Thane, this spacious 2 BHK flat on sale is a meticulously planned project. Invest your valuable money in this flat that is for resale. Located in Society, this ready to move apartment is sold at a fair selling price of INR 50 Lac. The flat is uniquely designed to enhance the living style. It is semi-furnished, studded with all the basic facilities.",thane,Ready to Move,Resale,Semi-Furnished,Unknown,2,0,0,Unknown,2,5,5000000.0,8197.0
106,2 BHK Ready to Occupy Flat for sale in Regency Sarvam Titwala,"This attractive 2 BHK apartment can be found for sale in Titwala, Thane. Well-tucked in the Regency Sarvam township, the property is easily accessible. Your search ends here, because this flat for resale is among the best bargains in town. This ready to move flat in Titwala comes at an affordable price of INR 50 Lac. Available in unfurnished state, this flat is a great buy. The property is constructed with proximity to major landmarks like regency itself a landmark.",thane,Ready to Move,Resale,Unfurnished,East,2,4,1 Open,Co-operative Society,12,12,5000000.0,4425.0
107,2 BHK Ready to Occupy Flat for sale in Panvelkar Regency Ambernath,"This lovely 2 BHK Flat in Ambernath, Thane is up for sale. Enjoying a prime location, this property is housed in the Panvelkar Regency society. This flat for resale is just the type of property you have been searching for! This ready to move flat in Ambernath comes at an affordable price of INR 45 Lac. The flat is available in unfurnished condition. The property is strategically placed near prominent places as buttercup society which make for the smooth living of residents.",thane,Ready to Move,Resale,Unfurnished,Unknown,2,3,0,Freehold,1,6,4500000.0,4403.0
108,1 BHK Ready to Occupy Flat for sale in Puraniks Hometown Anand Nagar Thane West,"This lovely 1 BHK Flat in Anand Nagar Thane West, Thane is up for sale. Take the experience of contemporary living to a new high, with exquisitely designed apartments at Puraniks Hometown. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! This ready to move flat in Anand Nagar Thane West can be availed at a reasonable price of INR 54 Lac. This premium semi-furnished flat spells quality and comfort at a competitive price. Landmarks near the apartment include there are some unique facilities such as club house,cafeteriafood cou.",thane,Ready to Move,Resale,Semi-Furnished,East,1,0,1 Covered,Freehold,2,7,5400000.0,12329.0
109,1 BHK Ready to Occupy Flat for sale in NG Regency Balkum Pada,"One can find this stunning 1 BHK flat for sale in Balkum village, Thane. It is housed in the well-planned Ng Regency township in an advantageous location. This flat for resale is the perfect property for you! You can buy this ready to move flat in Balkum village at a reasonable price of INR 50 Lac. It is semi-furnished to accommodate your needs. The property is strategically placed near prominent places as near dosti west county project which make for the smooth living of residents.",thane,Ready to Move,Resale,Semi-Furnished,East,1,2,1 Open,Co-operative Society,3,7,5000000.0,8333.0
110,2 BHK Ready to Occupy Flat for sale Kalyan Shilphata Road,This ready to move-in 2 BHK flat is available for sale at the premium Kalyan Shilphata Road in Thane. This flat for resale has a desirable location. This ready to move flat in Kalyan Shilphata Road can be taken at a very economical pricing of INR 41 Lac. This semi-furnished flat is strategically designed with all the amenities to enhance the living experience.,thane,Ready to Move,Resale,Semi-Furnished,Unknown,2,0,0,Unknown,0,0,4100000.0,5151.0
111,2 BHK Ready to Occupy Flat for sale in Tharwani Meghna Montana Ambernath,"Discover this immaculate 2 BHK flat for sale at the pristine Ambernath in Thane. Located in the Tharwani Meghna Montana township, the flat enjoys access to the prime spots in the city. This flat for sale is just the type of property you have been searching for! You can buy this ready to move flat in Ambernath at a reasonable price of INR 42.9 Lac. The flat is unfurnished and is suitable for any family size. The flat is in close proximity to prominent landmarks like ambernath.",thane,Ready to Move,New Property,Unfurnished,East,2,3,1 Open,Freehold,3,20,4290000.0,4583.0
112,3 BHK Ready to Occupy Flat for sale Dombivli East,"Dombivli East, Thane has an appealing 3 BHK flat for sale with various amenities. Your search ends here, because this flat for resale is among the best bargains in town. This ready to move flat located in Dombivli East is available for purchase at a fair price of INR 75 Lac. The flat is sold in unfurnished condition.",thane,Ready to Move,Resale,Unfurnished,East,2,0,1 Covered,Freehold,7,15,7500000.0,9554.0
113,2 BHK Ready to Occupy Flat for sale in Bhoomi Acres Hiranandani Estate,"Have a look at this immaculate 2 BHK flat for sale in Hiranandani Estate, Thane. Situated in the Bhoomi Acres township, it has a prime location. Invest your valuable money in this flat that is for resale. This ready to move flat in Hiranandani Estate is available for a reasonable price of INR 1 Cr. It is unfurnished to accommodate your needs. Some neighbouring landmarks are reputed schools, banks and atms are available nearby vicinity.",thane,Ready to Move,Resale,Unfurnished,South,2,1,1 Open,Freehold,6,13,10000000.0,14706.0
114,3 BHK Ready to Occupy Flat for sale in Samrin Heritage Panch Pakhdi,"Have a look at this immaculate 3 BHK flat for sale in Panch Pakhdi, Thane. Situated in the Samrin Heritage township, it has a prime location. This flat all equipped with required facilities, is up for sale. This apartment in one of the significant areas of Panch Pakhdi is ready to move, and can be purchased at the best price of INR 2.36 Cr. The possession date of the property is Jun '23. This flat is an ideal choice because it is an unfurnished apartment with all basic amenities. Some of the landmarks in the vicinity include viviana mall,jupiter hospital,korum mall.",thane,Ready to Move,New Property,Unfurnished,North - East,3,1,1 Covered,Freehold,2,29,23600000.0,21994.0
115,1 BHK Ready to Occupy Flat for sale in Vishwajeet Green Ambernath,"This lovely 1 BHK Flat in Ambernath, Thane is up for sale. Take the experience of contemporary living to a new high, with exquisitely designed apartments at Vishwajeet Green. Your hunt for the perfect apartment for resale comes to an end here. In Ambernath, this ready to move flat is available at an attractive price of INR 29 Lac. The flat is uniquely designed to enhance the living style. It is unfurnished, studded with all the basic facilities.",thane,Ready to Move,Resale,Unfurnished,Unknown,1,0,0,Unknown,5,7,2900000.0,3893.0
116,1 BHK Ready to Occupy Flat for sale in Vishwajeet Green Ambernath,"Ambernath, Thane has an attractive 1 BHK Flat for sale. This flat is situated within the renown township of Vishwajeet Green. This flat for resale is a choice property. This ready to move flat in Ambernath comes at an affordable price of INR 25 Lac. This unfurnished flat is strategically designed with all the amenities to enhance the living experience.",thane,Ready to Move,Resale,Unfurnished,Unknown,1,0,0,Unknown,4,7,2500000.0,3698.0
117,1 BHK Ready to Occupy Flat for sale in Vishwajeet Green Ambernath East,"This exquisite 1 BHK Flat is offered for sale in Ambernath East, Thane. It is in a prime location within the Vishwajeet Green. This apartment for resale is a great choice. This apartment ready to move in the Ambernath East is available for an attractive price of INR 27.5 Lac. This immaculate flat boasts of coming in semi-furnished form which takes the entire deal to the next level.",thane,Ready to Move,Resale,Semi-Furnished,Unknown,1,0,0,Unknown,1,7,2750000.0,4142.0
118,1 BHK Ready to Occupy Flat for sale in Kavyadhara Complex Dhokali,"1 BHK flat available for sale in Thane in the prime location of Dhokali. Enjoying a prime location, this property is housed in the Kavyadhara Complex society. This flat for resale has a desirable location. This ready to move flat in Dhokali is available for a reasonable price of INR 75 Lac. The flat is sold in furnished condition. opp. prathamesh hills society. are a few nearby landmarks.",thane,Ready to Move,Resale,Furnished,Unknown,1,0,0,Freehold,2,7,7500000.0,12605.0
